Day_month,Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
04-23,2022-04-23,531.0,242.0,513.0,0.0065419847328244,139.0,90.35,13465.90333,833.0,0.0,0.0,1660.0,1150.0,184.0
04-24,2022-04-24,580.0,223.0,516.0,0.0067343511450381,139.0,90.24,5648.66971,361.0,0.0,0.0,1640.0,1070.0,174.0
04-25,2022-04-25,780.0,264.0,501.0,0.0069267175572518,139.0,90.29,16553.888000000003,1018.0,0.0,0.0,1330.0,919.0,155.0
04-26,2022-04-26,749.0,259.0,493.0,0.0071190839694656,139.0,89.98,20168.39622,1265.0,0.0,0.0,1510.0,909.0,154.0
04-27,2022-04-27,520.0,232.0,520.0,0.0073114503816793,139.0,89.68,20311.7091,1263.0,0.0,0.0,1820.0,1100.0,178.0
04-28,2022-04-28,763.0,274.0,543.0,0.0075038167938931,139.0,89.21,19582.63408,1245.0,0.0,0.0,1920.0,1170.0,186.0
04-29,2022-04-29,919.0,328.0,640.0,0.0076961832061068,139.0,89.07,15989.82919,1002.0,0.0,0.0,2060.0,1220.0,192.0
04-30,2022-04-30,1060.0,374.0,582.0,0.0078885496183205,233.0,89.28,10582.75927,671.0,0.0,0.0,2010.0,1220.0,192.0
05-01,2022-05-01,945.0,413.0,459.0,0.0080809160305343,233.0,89.51,6356.43643,410.0,0.0,0.0,1610.0,953.0,160.0
05-02,2022-05-02,1100.0,332.0,405.0,0.008273282442748,233.0,89.84,9487.68645,593.0,0.0,0.0,1250.0,791.0,138.0
05-03,2022-05-03,1152.0,322.0,420.0,0.0084656488549618,233.0,90.05,19437.27773,1200.0,0.0,0.0,1270.0,720.0,128.0
05-04,2022-05-04,1190.0,469.0,493.0,0.0084656488549618,233.0,89.87,23661.55261,1480.0,0.0,0.0,1640.0,857.0,147.0
05-05,2022-05-05,1235.0,845.0,633.0,0.0084656488549618,233.0,89.79,18685.74049,1173.0,0.0,0.0,2240.0,1310.0,201.0
05-06,2022-05-06,1280.0,633.0,713.0,0.0084656488549618,233.0,89.88,20989.89224,1315.0,0.0,0.0,2570.0,1630.0,234.0
05-07,2022-05-07,1200.0,463.0,711.0,0.0084656488549618,233.0,89.83,19780.68825,1225.0,0.0,0.0,2740.0,1860.0,257.0
05-08,2022-05-08,1253.0,369.0,648.0,0.0084656488549618,233.0,89.86,17951.27742,1132.0,0.0,0.0,2500.0,1830.0,254.0
05-09,2022-05-09,1150.0,346.0,632.0,0.0084656488549618,233.0,89.85,22039.24853,1358.0,0.0,0.0,2240.0,1620.0,233.0
05-10,2022-05-10,1120.0,321.0,643.0,0.0084656488549618,252.0,89.6,24089.005320000004,1555.0,0.0,0.0,2400.0,1570.0,228.0
05-11,2022-05-11,1085.0,316.0,608.0,0.0084656488549618,252.0,88.33,25696.13773,1580.0,0.0,0.0,2460.0,1640.0,235.0
05-12,2022-05-12,1200.0,348.0,606.0,0.0084656488549618,252.0,88.97,28213.11767,1814.0,0.0,0.0,2420.0,1600.0,231.0
05-13,2022-05-13,1100.0,564.0,650.0,0.0084656488549618,252.0,88.57,25255.77233,1593.0,0.0,0.0,2670.0,1720.0,243.0
05-14,2022-05-14,1050.0,789.0,628.0,0.0084656488549618,252.0,88.14,28496.35472,1847.0,0.0,0.0,2690.0,1720.0,243.0
05-15,2022-05-15,1150.0,594.0,659.0,0.0084656488549618,252.0,87.69,22651.69488,1469.0,0.0,0.0,3020.0,1860.0,257.0
05-16,2022-05-16,1360.0,633.0,655.0,0.0084656488549618,252.0,87.58,25687.58577,1660.0,0.0,0.0,2870.0,1880.0,259.0
05-17,2022-05-17,1190.0,1170.0,1030.0,0.0084656488549618,252.0,87.21,27381.1395,1776.0,0.0,0.0,3490.0,2080.0,279.0
05-18,2022-05-18,1050.0,858.0,1100.0,0.0084656488549618,252.0,86.5,31807.3,2099.0,0.0,0.0,4250.0,2700.0,339.0
05-19,2022-05-19,1020.0,547.0,1020.0,0.0084656488549618,252.0,85.64,32369.8,2166.0,0.0,0.0,4350.0,3010.0,369.0
05-20,2022-05-20,1015.0,424.0,816.0,0.0084656488549618,252.0,84.72,32362.6,2189.0,0.0,0.0,3780.0,2810.0,349.0
05-21,2022-05-21,1000.0,362.0,817.0,0.0084656488549618,393.0,83.78,31654.7,2167.0,0.0,0.0,3440.0,2480.0,317.0
05-22,2022-05-22,1025.0,372.0,833.0,0.0084656488549618,393.0,82.95,28783.9,1982.0,0.0,0.0,3450.0,2400.0,310.0
05-23,2022-05-23,1030.0,550.0,746.0,0.0084656488549618,393.0,82.02,30000.3,2090.0,0.0,0.0,3300.0,2370.0,307.0
05-24,2022-05-24,2268.0,793.0,866.0,0.0084656488549618,393.0,81.48,29867.6,2097.0,0.0,0.0,3500.0,2310.0,301.0
05-25,2022-05-25,3588.0,681.0,934.0,0.008430534351145,393.0,82.28,29071.8,2019.0,0.0,0.0,3880.0,2530.0,322.0
05-26,2022-05-26,4000.0,543.0,982.0,0.0083954198473282,393.0,84.05,28449.8,1935.0,0.0,0.0,3880.0,2570.0,326.0
05-27,2022-05-27,4075.0,445.0,976.0,0.0083603053435114,393.0,85.59,31304.4,2090.0,0.0,0.0,3800.0,2520.0,321.0
05-28,2022-05-28,4023.0,367.0,979.0,0.0083251908396946,393.0,86.93,29328.1,1923.0,0.0,0.0,3740.0,2470.0,316.0
05-29,2022-05-29,3803.0,311.0,861.0,0.0082900763358778,393.0,88.42,24453.1,1570.0,0.0,0.0,3390.0,2310.0,301.0
05-30,2022-05-30,3400.0,276.0,668.0,0.008254961832061,393.0,89.87,25906.0,1624.0,0.0,0.0,2780.0,1920.0,263.0
05-31,2022-05-31,2175.0,253.0,650.0,0.0082198473282442,872.0,90.73,26798.1,1665.0,0.0,0.0,2560.0,1650.0,236.0
06-01,2022-06-01,1190.0,240.0,719.0,0.0081847328244274,872.0,90.59,29084.31056,1819.0,0.0,0.0,2650.0,1650.0,236.0
06-02,2022-06-02,1050.0,263.0,769.0,0.0081496183206106,872.0,90.03,30174.77114,1885.0,0.0,0.0,2820.0,1790.0,250.0
06-03,2022-06-03,1020.0,394.0,744.0,0.0081145038167938,872.0,89.37,32291.34959,2057.0,0.0,0.0,2940.0,1890.0,260.0
06-04,2022-06-04,650.0,378.0,824.0,0.0081145038167938,872.0,88.32,30683.72932,1975.0,0.0,0.0,3120.0,2030.0,274.0
06-05,2022-06-05,550.0,377.0,809.0,0.0081145038167938,872.0,87.37,22649.02676,1481.0,0.0,0.0,3310.0,2240.0,294.0
06-06,2022-06-06,870.0,376.0,675.0,0.0081145038167938,872.0,86.99,17475.9304,1134.0,0.0,0.0,2770.0,2090.0,280.0
06-07,2022-06-07,1130.0,463.0,598.0,0.0081145038167938,872.0,86.81,23220.82192,1510.0,0.0,0.0,2270.0,1620.0,233.0
06-08,2022-06-08,1160.0,454.0,637.0,0.0081145038167938,872.0,86.19,29221.82024,1926.0,0.0,0.0,2540.0,1670.0,238.0
06-09,2022-06-09,3615.0,365.0,746.0,0.0081145038167938,872.0,86.76,25951.88,1694.0,0.0,0.0,2940.0,1890.0,260.0
06-10,2022-06-10,3750.0,370.0,745.0,0.0081145038167938,872.0,88.14,27006.36498,1738.0,0.0,0.0,2920.0,1830.0,254.0
06-11,2022-06-11,3675.0,345.0,806.0,0.0081145038167938,945.0,89.34,28169.04747,1787.0,0.0,0.0,2950.0,1830.0,254.0
06-12,2022-06-12,3581.0,389.0,943.0,0.0081145038167938,945.0,90.49,28394.47709,1776.0,0.0,0.0,3260.0,1980.0,269.0
06-13,2022-06-13,1826.0,412.0,918.0,0.0081145038167938,945.0,91.07,33335.227300000006,2071.0,0.0,0.0,3220.0,2060.0,277.0
06-14,2022-06-14,1020.0,450.0,1140.0,0.0081145038167938,945.0,90.42,36196.54135,2290.0,0.0,0.0,3990.0,2400.0,310.0
06-15,2022-06-15,850.0,538.0,1310.0,0.0081145038167938,945.0,89.53,34575.504870000004,2189.0,0.0,0.0,4460.0,2900.0,358.0
06-16,2022-06-16,833.0,637.0,1220.0,0.0081145038167938,945.0,88.34,35402.62045,2294.0,0.0,0.0,4570.0,3050.0,373.0
06-17,2022-06-17,1000.0,549.0,1160.0,0.0081145038167938,945.0,87.41,34620.994999999995,2270.0,0.0,0.0,4490.0,3070.0,375.0
06-18,2022-06-18,1000.0,447.0,1310.0,0.0081145038167938,945.0,86.62,27818.38937,1840.0,0.0,0.0,4660.0,3160.0,383.0
06-19,2022-06-19,1000.0,446.0,1250.0,0.0081145038167938,945.0,86.37,17356.00454,1138.0,0.0,0.0,4230.0,3040.0,372.0
06-20,2022-06-20,1000.0,606.0,1130.0,0.0081145038167938,984.0,86.2,25611.37604,1684.0,0.0,0.0,3590.0,2580.0,327.0
06-21,2022-06-21,1167.0,603.0,1190.0,0.0081145038167938,984.0,85.97,19219.29024,1281.0,0.0,0.0,3870.0,2500.0,319.0
06-22,2022-06-22,1200.0,464.0,1290.0,0.0081145038167938,984.0,85.98,18471.51038,1214.0,0.0,0.0,3930.0,2530.0,322.0
06-23,2022-06-23,1200.0,452.0,1090.0,0.0081145038167938,984.0,85.97,16019.22358,1050.0,0.0,0.0,3650.0,2480.0,318.0
06-24,2022-06-24,1500.0,516.0,1010.0,0.0081145038167938,984.0,86.2,14796.77464,975.0,0.0,0.0,3220.0,2200.0,291.0
06-25,2022-06-25,2600.0,773.0,997.0,0.0081087786259541,984.0,86.91,15523.1079,1012.0,0.0,0.0,3170.0,2210.0,291.0
06-26,2022-06-26,2342.0,1890.0,1060.0,0.0081030534351144,984.0,87.95,15219.361670000002,976.0,0.0,0.0,3890.0,2360.0,306.0
06-27,2022-06-27,1730.0,1730.0,1280.0,0.0080973282442747,984.0,88.47,23763.55201,1537.0,0.0,0.0,4960.0,3010.0,369.0
06-28,2022-06-28,1700.0,1050.0,1340.0,0.008091603053435,984.0,88.61,23633.33699,1529.0,0.0,0.0,5400.0,3520.0,419.0
06-29,2022-06-29,1450.0,1610.0,1200.0,0.0080858778625953,984.0,88.86,15995.65081,1156.0,0.0,0.0,4690.0,3270.0,394.0
06-30,2022-06-30,1575.0,1230.0,1140.0,0.0080801526717556,802.0,89.14,10806.64636,683.0,0.0,0.0,4240.0,3010.0,369.0
07-01,2022-07-01,1893.0,1330.0,1080.0,0.0080744274809159,802.0,89.72,20455.5323,1275.0,0.0,0.0,3960.0,2790.0,348.0
07-02,2022-07-02,1850.0,1700.0,1250.0,0.0080687022900763,802.0,89.5,27731.38574,1749.0,0.0,0.0,4430.0,2900.0,358.0
07-03,2022-07-03,3000.0,1540.0,1710.0,0.0080687022900763,802.0,90.18,27574.76665,1730.0,0.0,0.0,5810.0,3530.0,420.0
07-04,2022-07-04,2800.0,1210.0,1670.0,0.0080687022900763,802.0,90.84,31262.76378,1948.0,0.0,0.0,6300.0,4040.0,469.0
07-05,2022-07-05,2950.0,891.0,1580.0,0.0080687022900763,802.0,91.26,36056.541,2244.0,0.0,0.0,6060.0,3970.0,462.0
07-06,2022-07-06,2800.0,746.0,1540.0,0.0080687022900763,802.0,91.61,36221.5927,2251.0,0.0,0.0,5860.0,3830.0,448.0
07-07,2022-07-07,2690.0,659.0,1470.0,0.0080687022900763,802.0,91.81,37602.685,2334.0,0.0,0.0,5600.0,3640.0,430.0
07-08,2022-07-08,5750.0,649.0,1370.0,0.0080687022900763,802.0,92.91,36973.70985,2256.0,0.0,0.0,5280.0,3430.0,410.0
07-09,2022-07-09,5589.0,890.0,1390.0,0.0080687022900763,802.0,94.89,33239.11699,1991.0,0.0,0.0,5070.0,3270.0,394.0
07-10,2022-07-10,5260.0,693.0,1340.0,0.0080687022900763,425.0,96.84,31796.23794,1806.0,0.0,0.0,4970.0,3180.0,385.0
07-11,2022-07-11,5200.0,652.0,1310.0,0.0080687022900763,425.0,98.61,35235.57241000001,1974.0,0.0,0.0,4760.0,3070.0,375.0
07-12,2022-07-12,5000.0,785.0,1360.0,0.0080687022900763,425.0,100.09,43090.125,2390.0,0.0,0.0,4930.0,3120.0,380.0
07-13,2022-07-13,5005.0,697.0,1390.0,0.0080687022900763,425.0,101.38,43406.91584,2365.0,0.0,0.0,5390.0,3410.0,408.0
07-14,2022-07-14,2449.0,855.0,1370.0,0.0080687022900763,425.0,102.03,43421.88554999999,2334.0,0.0,0.0,5390.0,3540.0,420.0
07-15,2022-07-15,1250.0,834.0,1160.0,0.0080687022900763,425.0,101.6,45887.3,2484.0,0.0,0.0,5170.0,3450.0,411.0
07-16,2022-07-16,1157.0,810.0,1140.0,0.0080687022900763,425.0,100.85,44089.8064,2424.0,0.0,0.0,5070.0,3330.0,400.0
07-17,2022-07-17,1250.0,719.0,1090.0,0.0080687022900763,425.0,100.42,32599.926280000003,1804.0,0.0,0.0,4830.0,3280.0,396.0
07-18,2022-07-18,1246.0,702.0,1160.0,0.0080687022900763,425.0,100.26,28315.25616,1544.0,0.0,0.0,4270.0,2910.0,359.0
07-19,2022-07-19,1260.0,773.0,1160.0,0.0080687022900763,425.0,100.02,34773.99222,1893.0,0.0,0.0,4470.0,2860.0,354.0
07-20,2022-07-20,1200.0,817.0,1020.0,0.0080687022900763,425.0,99.62,41433.58539,2293.0,0.0,0.0,4310.0,2820.0,350.0
07-21,2022-07-21,1180.0,681.0,1100.0,0.0080687022900763,108.0,98.98,43126.658,2440.0,0.0,0.0,4630.0,2860.0,355.0
07-22,2022-07-22,1170.0,659.0,1080.0,0.0080687022900763,108.0,98.33,42070.07200000001,2393.0,0.0,0.0,4770.0,3020.0,370.0
07-23,2022-07-23,1310.0,886.0,1050.0,0.0080687022900763,108.0,97.81,40658.37544,2333.0,0.0,0.0,4590.0,2950.0,363.0
07-24,2022-07-24,2850.0,1490.0,1220.0,0.0079249363867684,108.0,97.65,42694.22,2452.0,0.0,0.0,4980.0,3030.0,371.0
07-25,2022-07-25,4100.0,958.0,1290.0,0.0077811704834605,108.0,98.28,42935.2885,2445.0,0.0,0.0,5910.0,3600.0,426.0
07-26,2022-07-26,4000.0,814.0,1260.0,0.0076374045801526,108.0,99.11,43874.05,2457.0,0.0,0.0,5600.0,3610.0,427.0
07-27,2022-07-27,3900.0,739.0,1230.0,0.0074936386768447,108.0,99.82,44406.245,2477.0,0.0,0.0,5340.0,3450.0,411.0
07-28,2022-07-28,3800.0,702.0,1240.0,0.0073498727735368,108.0,100.51,45230.055,2503.0,0.0,0.0,5200.0,3360.0,403.0
07-29,2022-07-29,2300.0,657.0,1270.0,0.0072061068702289,108.0,100.73,45260.545,2483.0,0.0,0.0,5270.0,3400.0,407.0
07-30,2022-07-30,2342.0,671.0,1160.0,0.007062340966921,108.0,100.67,44222.34515,2438.0,0.0,0.0,5120.0,3380.0,405.0
07-31,2022-07-31,3157.0,996.0,918.0,0.0069185750636131,86.0,100.88,39622.61635,2178.0,0.0,0.0,4560.0,3250.0,392.0
08-01,2022-08-01,2755.0,1710.0,869.0,0.0067748091603052,86.0,101.27,44129.15935,2398.0,0.0,0.0,4400.0,2930.0,361.0
08-02,2022-08-02,2892.0,1500.0,1090.0,0.0066310432569973,86.0,101.63,35882.97879,1952.0,0.0,0.0,5390.0,3350.0,402.0
08-03,2022-08-03,1400.0,990.0,1120.0,0.0064872773536894,86.0,101.72,35741.17518,1918.0,0.0,0.0,5540.0,3620.0,428.0
08-04,2022-08-04,1350.0,772.0,1010.0,0.0063435114503816,86.0,101.42,39209.69949,2130.0,0.0,0.0,4980.0,3360.0,403.0
08-05,2022-08-05,1388.0,639.0,922.0,0.0063435114503816,86.0,101.13,32438.00759,1749.0,0.0,0.0,4430.0,2980.0,366.0
08-06,2022-08-06,1766.0,846.0,882.0,0.0063435114503816,86.0,101.07,33066.61687,1197.0,0.0,0.0,4010.0,2620.0,331.0
08-07,2022-08-07,1330.0,695.0,896.0,0.0063435114503816,86.0,100.95,31506.905900000005,1711.0,0.0,0.0,4250.0,2620.0,331.0
08-08,2022-08-08,1056.0,569.0,844.0,0.0063435114503816,86.0,100.57,38761.61951999999,2118.0,0.0,0.0,4020.0,2670.0,336.0
08-09,2022-08-09,1250.0,517.0,977.0,0.0063435114503816,86.0,100.17,33952.87219,1866.0,0.0,0.0,4210.0,2680.0,337.0
08-10,2022-08-10,1736.0,683.0,1010.0,0.0063435114503816,86.0,100.11,26367.62038,1452.0,0.0,0.0,4160.0,2750.0,344.0
08-11,2022-08-11,1450.0,809.0,971.0,0.0063435114503816,70.0,100.23,26974.91426,1473.0,0.0,0.0,4160.0,2740.0,343.0
08-12,2022-08-12,1466.0,831.0,904.0,0.0063435114503816,70.0,100.2,25824.54963,1415.0,0.0,0.0,4020.0,2760.0,345.0
08-13,2022-08-13,1321.0,640.0,855.0,0.0063435114503816,70.0,100.21,26497.74926,1436.0,0.0,0.0,3810.0,2640.0,333.0
08-14,2022-08-14,1130.0,676.0,775.0,0.0063435114503816,70.0,100.11,21175.2818,1159.0,0.0,0.0,3480.0,2450.0,315.0
08-15,2022-08-15,1300.0,590.0,706.0,0.0063435114503816,70.0,100.18,25052.156299999995,1356.0,0.0,0.0,3010.0,2100.0,281.0
08-16,2022-08-16,1350.0,593.0,815.0,0.0063435114503816,70.0,100.07,30262.9304,1660.0,0.0,0.0,3160.0,1940.0,265.0
08-17,2022-08-17,1300.0,572.0,890.0,0.0063435114503816,70.0,99.97,26024.23643,1424.0,0.0,0.0,3530.0,2180.0,288.0
08-18,2022-08-18,1304.0,740.0,840.0,0.0063435114503816,70.0,99.91,25836.854919999994,1415.0,0.0,0.0,3430.0,2180.0,288.0
08-19,2022-08-19,1300.0,752.0,772.0,0.0063435114503816,70.0,99.94,19891.93437,1083.0,0.0,0.0,3170.0,2030.0,274.0
08-20,2022-08-20,1460.0,1230.0,764.0,0.0063435114503816,70.0,100.16,15768.432309999997,869.0,0.0,0.0,3130.0,2020.0,273.0
08-21,2022-08-21,1400.0,1720.0,767.0,0.0063435114503816,60.0,100.46,11716.45539,634.0,0.0,0.0,3300.0,2040.0,274.0
08-22,2022-08-22,1250.0,1030.0,771.0,0.0063435114503816,60.0,100.71,20458.20948,1095.0,0.0,0.0,3510.0,2240.0,294.0
08-23,2022-08-23,1270.0,847.0,787.0,0.0063435114503816,60.0,100.76,20834.46236,1109.0,0.0,0.0,3420.0,2250.0,295.0
08-24,2022-08-24,1430.0,978.0,951.0,0.0063435114503816,60.0,100.94,15663.677209999998,839.0,0.0,0.0,3580.0,2270.0,297.0
08-25,2022-08-25,1310.0,1130.0,1120.0,0.0063102012491324,60.0,101.22,19304.334380000004,1026.0,0.0,0.0,4480.0,2730.0,341.0
08-26,2022-08-26,1250.0,769.0,965.0,0.0062768910478833,60.0,101.3,19715.77734,985.0,0.0,0.0,4200.0,2860.0,354.0
08-27,2022-08-27,1200.0,734.0,823.0,0.0062435808466342,60.0,101.48,10882.41002,584.0,0.0,0.0,3600.0,2550.0,325.0
08-28,2022-08-28,913.0,604.0,653.0,0.006210270645385,60.0,101.63,8954.79866,477.0,0.0,0.0,2730.0,2010.0,271.0
08-29,2022-08-29,1188.0,532.0,494.0,0.0061769604441359,60.0,101.93,15506.392360000003,817.0,0.0,0.0,2140.0,1530.0,224.0
08-30,2022-08-30,1145.0,497.0,568.0,0.0061436502428868,60.0,102.02,22453.06306,1187.0,0.0,0.0,2070.0,1300.0,201.0
08-31,2022-08-31,1150.0,530.0,743.0,0.0061103400416377,60.0,101.96,27388.70347,1437.0,0.0,0.0,2610.0,1510.0,222.0
09-01,2022-09-01,1054.0,461.0,790.0,0.0060770298403885,60.0,101.81,20576.07041,1094.0,0.0,0.0,3010.0,1750.0,246.0
09-02,2022-09-02,658.0,516.0,758.0,0.0060437196391394,60.0,101.89,6576.33564,359.0,0.0,0.0,2870.0,1750.0,246.0
09-03,2022-09-03,810.0,486.0,540.0,0.0060104094378903,60.0,102.01,8975.52928,479.0,0.0,0.0,1940.0,1300.0,201.0
09-04,2022-09-04,723.0,535.0,444.0,0.0059770992366412,60.0,102.16,11060.90843,588.0,0.0,0.0,1530.0,1040.0,171.0
09-05,2022-09-05,750.0,998.0,468.0,0.0059770992366412,60.0,102.14,14816.97017,784.0,0.0,0.0,1610.0,1070.0,173.0
09-06,2022-09-06,1100.0,697.0,717.0,0.0059770992366412,60.0,102.19,19022.95716,1000.0,0.0,0.0,2490.0,1460.0,217.0
09-07,2022-09-07,1171.0,612.0,708.0,0.0059770992366412,60.0,102.25,21257.244,1118.0,0.0,0.0,2920.0,1940.0,265.0
09-08,2022-09-08,989.0,648.0,646.0,0.0059770992366412,60.0,102.21,20846.09733,1093.0,0.0,0.0,2620.0,1840.0,255.0
09-09,2022-09-09,694.0,754.0,714.0,0.0059770992366412,60.0,102.13,15579.53912,830.0,0.0,0.0,2630.0,1790.0,250.0
09-10,2022-09-10,900.0,770.0,784.0,0.0059770992366412,60.0,102.22,7273.58958,389.0,0.0,0.0,2640.0,1820.0,253.0
09-11,2022-09-11,830.0,1490.0,728.0,0.0059770992366412,60.0,102.51,5788.766890000001,319.0,0.0,0.0,2600.0,1820.0,253.0
09-12,2022-09-12,1571.0,1450.0,613.0,0.0059770992366412,60.0,102.85,7329.881869999999,395.0,0.0,0.0,2640.0,1780.0,249.0
09-13,2022-09-13,993.0,1950.0,658.0,0.0059770992366412,60.0,103.28,10842.78681,572.0,0.0,0.0,2930.0,1950.0,266.0
09-14,2022-09-14,846.0,1900.0,755.0,0.0059770992366412,60.0,103.41,12933.97191,679.0,0.0,0.0,3490.0,2190.0,289.0
09-15,2022-09-15,980.0,1350.0,788.0,0.0059770992366412,60.0,103.57,10803.95731,570.0,0.0,0.0,3740.0,2460.0,316.0
09-16,2022-09-16,1013.0,1120.0,787.0,0.0059770992366412,60.0,103.75,10607.35572,561.0,0.0,0.0,3570.0,2400.0,310.0
09-17,2022-09-17,755.0,895.0,712.0,0.0059770992366412,60.0,103.9,11401.170870000002,597.0,0.0,0.0,3380.0,2180.0,289.0
09-18,2022-09-18,1200.0,804.0,597.0,0.0059770992366412,60.0,104.12,5062.43512,275.0,0.0,0.0,2700.0,1900.0,261.0
09-19,2022-09-19,1160.0,900.0,477.0,0.0059770992366412,60.0,104.51,10866.019359999998,570.0,0.0,0.0,2060.0,1500.0,221.0
09-20,2022-09-20,1330.0,1030.0,631.0,0.0059770992366412,60.0,104.9,7947.065659999999,420.0,0.0,0.0,2290.0,1510.0,222.0
09-21,2022-09-21,1700.0,1140.0,1100.0,0.0059770992366412,60.0,105.67,6003.9226100000005,321.0,0.0,0.0,3370.0,2070.0,278.0
09-22,2022-09-22,1113.0,1170.0,962.0,0.0059770992366412,60.0,105.92,7467.15722,393.0,0.0,0.0,3520.0,2470.0,317.0
09-23,2022-09-23,940.0,993.0,811.0,0.0059770992366412,60.0,106.22,7746.623079999999,406.0,0.0,0.0,3180.0,2330.0,303.0
09-24,2022-09-24,745.0,878.0,643.0,0.0059770992366412,60.0,106.42,9824.51006,509.0,0.0,0.0,2670.0,2050.0,276.0
09-25,2022-09-25,380.0,837.0,537.0,0.0059868147120055,60.0,106.48,4923.16299,264.0,0.0,0.0,2270.0,1750.0,246.0
09-26,2022-09-26,600.0,854.0,520.0,0.0059965301873698,60.0,106.55,7633.11386,399.0,0.0,0.0,1980.0,1440.0,215.0
09-27,2022-09-27,908.0,964.0,532.0,0.0060062456627341,60.0,106.77,4644.89092,248.0,0.0,0.0,2010.0,1350.0,205.0
09-28,2022-09-28,1090.0,924.0,551.0,0.0060159611380985,60.0,107.09,8224.624469999999,429.0,0.0,0.0,2090.0,1380.0,209.0
09-29,2022-09-29,1300.0,880.0,536.0,0.0060256766134628,60.0,107.48,7545.720699999999,392.0,0.0,0.0,2120.0,1450.0,216.0
09-30,2022-09-30,1200.0,789.0,540.0,0.0060353920888271,370.0,107.9,2710.8496400000004,152.0,0.0,0.0,2100.0,1360.0,207.0
10-01,2022-10-01,1213.0,909.0,519.0,0.0060451075641914,370.0,108.4,3921.87397,213.0,0.0,0.0,1960.0,1330.0,204.0
10-02,2022-10-02,1150.0,1080.0,493.0,0.0060548230395558,370.0,108.84,3765.68995,203.0,0.0,0.0,1940.0,1500.0,221.0
10-03,2022-10-03,1100.0,996.0,478.0,0.0060645385149201,370.0,109.24,4094.357399999999,219.0,0.0,0.0,1940.0,1500.0,221.0
10-04,2022-10-04,1126.0,840.0,479.0,0.0060742539902844,370.0,109.66,3234.6911600000003,177.0,0.0,0.0,1920.0,1500.0,220.0
10-05,2022-10-05,1138.0,715.0,477.0,0.0060839694656488,370.0,110.11,2563.16357,144.0,0.0,0.0,1840.0,1410.0,212.0
10-06,2022-10-06,1220.0,803.0,472.0,0.0060839694656488,370.0,110.56,3592.08177,192.0,0.0,0.0,1700.0,1260.0,195.0
10-07,2022-10-07,1160.0,894.0,485.0,0.0060839694656488,370.0,110.97,4260.95897,225.0,0.0,0.0,1740.0,1290.0,199.0
10-08,2022-10-08,1150.0,854.0,518.0,0.0060839694656488,-370.0,111.41,3466.52001,186.0,0.0,0.0,1880.0,1350.0,205.0
10-09,2022-10-09,1110.0,806.0,533.0,0.0060839694656488,370.0,111.85,3245.7708200000006,174.0,0.0,0.0,2080.0,1460.0,217.0
10-10,2022-10-10,1150.0,678.0,495.0,0.0060839694656488,388.0,112.23,7359.4719,371.0,0.0,0.0,1920.0,1360.0,207.0
10-11,2022-10-11,1300.0,543.0,503.0,0.0060839694656488,388.0,112.68,8465.25315,424.0,0.0,0.0,1860.0,1220.0,192.0
10-12,2022-10-12,1300.0,524.0,491.0,0.0060839694656488,388.0,113.08,7571.15281,379.0,0.0,0.0,1840.0,1190.0,188.0
10-13,2022-10-13,1400.0,507.0,440.0,0.0060839694656488,388.0,113.5,6494.44819,327.0,0.0,0.0,1630.0,1100.0,179.0
10-14,2022-10-14,1290.0,567.0,445.0,0.0060839694656488,388.0,113.96,4554.9963800000005,225.0,0.0,0.0,1570.0,1090.0,177.0
10-15,2022-10-15,1150.0,666.0,541.0,0.0060839694656488,388.0,114.41,4455.9508,230.0,0.0,0.0,1700.0,1110.0,179.0
10-16,2022-10-16,750.0,563.0,542.0,0.0060839694656488,388.0,114.72,3533.59651,185.0,0.0,0.0,1850.0,1230.0,193.0
10-17,2022-10-17,963.0,500.0,440.0,0.0060839694656488,388.0,115.0,4202.80682,216.0,0.0,0.0,1590.0,1180.0,187.0
10-18,2022-10-18,600.0,480.0,475.0,0.0060839694656488,388.0,115.23,4527.1608400000005,230.0,0.0,0.0,1450.0,1040.0,171.0
10-19,2022-10-19,670.0,518.0,466.0,0.0060839694656488,388.0,115.37,4902.88193,247.0,0.0,0.0,1480.0,1100.0,177.0
10-20,2022-10-20,850.0,428.0,438.0,0.0060839694656488,400.0,115.59,7291.37691,359.0,0.0,0.0,1430.0,1120.0,179.0
10-21,2022-10-21,758.0,390.0,418.0,0.0060839694656488,400.0,115.77,8061.808629999999,394.0,0.0,0.0,1390.0,1080.0,176.0
10-22,2022-10-22,991.0,390.0,427.0,0.0060839694656488,400.0,115.94,10774.11516,520.0,0.0,0.0,1370.0,966.0,162.0
10-23,2022-10-23,680.0,412.0,420.0,0.0060839694656488,400.0,116.08,10772.07261,520.0,0.0,0.0,1400.0,948.0,160.0
10-24,2022-10-24,868.0,414.0,402.0,0.0060839694656488,400.0,116.12,15437.25638,739.0,0.0,0.0,1380.0,864.0,148.0
10-25,2022-10-25,1100.0,422.0,419.0,0.0060839694656488,400.0,116.23,16168.27046,772.0,0.0,0.0,1460.0,851.0,147.0
10-26,2022-10-26,1020.0,430.0,420.0,0.0060305343511449,400.0,116.37,13886.7062,667.0,0.0,0.0,1520.0,896.0,153.0
